"objectID";"parcelID";"parcelNumber";"shapeLength";"shapeArea";"geometry";"owner";"parish";"municipality";"island"
"1";"7343148";"2996240000000";"57.2469341921808";"202.05981432070362";"MULTIPOLYGON (((299218.5203999998 3623637.4791, 299218.5033999998 3623637.4715, 299218.04000000004 3623638.4800000004, 299232.7400000002 3623644.6799999997, 299236.6233999999 3623637.1974, 299236.93709999975 3623636.7885999996, 299238.04000000004 3623633.4800000004, 299222.63999999966 3623627.1799999997, 299218.5203999998 3623637.4791)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"138";"7350213";"2976220000000";"77.88483961099904";"235.38846544564066";"MULTIPOLYGON (((297438.841 3622000.3060999997, 297445.55709999986 3621998.4744000006, 297443.96999999974 3621985.4800000004, 297441.96999999974 3621976.58, 297423.5700000003 3621988.380000001, 297425.3700000001 3621992.1799999997, 297434.76999999955 3621988.4800000004, 297438.46999999974 3621998.08, 297438.841 3622000.3060999997)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"183";"7343448";"2986240000000";"147.11373668325768";"698.8726677948932";"MULTIPOLYGON (((298493.92080000043 3623546.9681, 298491.8799999999 3623542.33, 298494.5800000001 3623540.0299999993, 298500.98000000045 3623538.7300000004, 298503.7768000001 3623537.578400001, 298505.80759999994 3623538.1755999997, 298506.2944 3623536.1337, 298512.68840000033 3623509.3143000007, 298505.4874999998 3623504.685900001, 298499.02880000044 3623499.8244000003, 298499.0069000004 3623499.8079000004, 298499.0099999998 3623499.8000000007, 298498.89109999966 3623499.7206999995, 298498.0876000002 3623499.1159000006, 298498.06120000035 3623499.1675000004, 298497.89240000024 3623499.0549999997, 298497.9349999996 3623498.975400001, 298495.39639999997 3623497.898499999, 298494.7427000003 3623497.621099999, 298494.75 3623497.7200000007, 298492.9941999996 3623510.842599999, 298493.0499999998 3623510.83, 298489.6500000004 3623548.33, 298495.926 3623553.0845, 298496.3256000001 3623552.5516, 298496.3865 3623552.5999999996, 298497.6286000004 3623550.8957, 298497.6799999997 3623550.9299999997, 298500.6799999997 3623548.0299999993, 298499.1799999997 3623545.630000001, 298498.12179999985 3623546.225299999, 298497.40770000033 3623544.9756000005, 298493.92080000043 3623546.9681)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"241";"10042808";"2986220000000";"66.57824258154812";"188.75810962655797";"MULTIPOLYGON (((298066.1584000001 3622483.8597, 298066.1584000001 3622489.1777, 298066.1584000001 3622491.3836000003, 298066.34580000024 3622491.3702000007, 298066.5599999996 3622493.0299999993, 298079.5599999996 3622491.2300000004, 298092.2599999998 3622490.2300000004, 298092.2599999998 3622489.519200001, 298092.38150000013 3622489.510500001, 298091.36000000034 3622484.33, 298066.36000000034 3622483.9299999997, 298066.1584000001 3622483.8597)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"245";"20344332";"2996230000000";"86.27957565826101";"262.63491008437444";"MULTIPOLYGON (((298732.72589999996 3623871.476, 298731.96999999974 3623872.119999999, 298731.46999999974 3623873.3200000003, 298741.8700000001 3623881.42, 298742.1699999999 3623880.8200000003, 298742.17260000017 3623880.8112000003, 298742.2407999998 3623880.871200001, 298744.2253999999 3623877.2248, 298746.45469999965 3623872.990599999, 298750.1699999999 3623865.119999999, 298753.5700000003 3623858.5199999996, 298758.0700000003 3623850.619999999, 298758.10819999967 3623850.7687999997, 298758.2159000002 3623849.982000001, 298758.11000000034 3623850.0999999996, 298757.1704000002 3623848.9218000006, 298749.1699999999 3623856.3200000003, 298735.99899999984 3623868.6878999993, 298734.26099999994 3623870.168400001, 298732.72589999996 3623871.476)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"277";"7351286";"2996220000000";"145.6956600007232";"1106.0322274325185";"MULTIPOLYGON (((299093.9095999999 3621512.4681, 299087.5296 3621518.8881, 299083.9397 3621524.9781, 299081.2759999996 3621529.5051000006, 299080.76999999955 3621533.6799999997, 299080.76999999955 3621538.880000001, 299082.1699999999 3621545.2799999993, 299083.76999999955 3621551.08, 299086.76999999955 3621554.2799999993, 299090.3700000001 3621556.4800000004, 299095.5700000003 3621559.08, 299096.01400000043 3621559.4056, 299127.6656999998 3621537.3531, 299115.5050999997 3621532.134299999, 299115.65380000044 3621531.7261999995, 299113.9639999997 3621531.1093000006, 299113.96999999974 3621531.08, 299107.8570999997 3621528.440300001, 299105.1699999999 3621527.2799999993, 299098.76999999955 3621527.2799999993, 299097.6606999999 3621517.9899000004, 299097.1699999999 3621513.880000001, 299094.1699999999 3621512.6799999997, 299094.0502000004 3621512.8387, 299093.9095999999 3621512.4681)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"437";"20965824";"2986220000000";"111.522483971083";"617.5400109975052";"MULTIPOLYGON (((298012.95019999985 3621801.9058999997, 298010.61000000034 3621811.960000001, 298035.11000000034 3621816.76, 298037.20999999996 3621808.8599999994, 298030.8099999996 3621805.5600000005, 298026.91000000015 3621782.26, 298013.91000000015 3621784.0600000005, 298006.70999999996 3621797.16, 298006.9435999999 3621797.2732999995, 298007.0099999998 3621797.2300000004, 298013.5099999998 3621800.4299999997, 298012.95019999985 3621801.9058999997)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"452";"7351171";"2986210000000";"158.26591348379753";"1460.2400617151436";"MULTIPOLYGON (((298005.4199999999 3621605, 298006.6200000001 3621605.0999999996, 298006.6816999996 3621595.4042000007, 298006.8797000004 3621564.270199999, 298006.88129999954 3621564.2192, 297977.35720000044 3621547.0217000004, 297976.4500000002 3621553.0999999996, 297975.2000000002 3621564.3000000007, 297973.5499999998 3621581.3499999996, 297972.4000000004 3621593.8000000007, 297972.79000000004 3621594.1899999995, 297980.6200000001 3621596.8000000007, 297993.6200000001 3621601.5, 298001.8300000001 3621604.3100000005, 298001.83050000016 3621604.3072999995, 298005.4199999999 3621605)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"520";"16637812";"2986220000000";"67.1171405045778";"233.30498877722084";"MULTIPOLYGON (((298480.6644000001 3621855.5770999994, 298491.70129999984 3621875.0755000003, 298502.56680000015 3621871.6898999996, 298495.37540000025 3621861.1942, 298492.77080000006 3621857.392999999, 298488.8542999998 3621851.677100001, 298480.6644000001 3621855.5770999994)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
"527";"7351443";"2986210000000";"101.76146521608523";"639.0042804850754";"MULTIPOLYGON (((297823.26570000034 3621511.3224, 297838.66000000015 3621492.3499999996, 297837.3992999997 3621491.2446, 297819.5963000003 3621475.635399999, 297817.5599999996 3621473.8499999996, 297816.89080000017 3621475.2640000004, 297816.88999999966 3621475.2699999996, 297811.16000000015 3621486.1500000004, 297805.3206000002 3621497.4459000006, 297823.26570000034 3621511.3224)))";"93";"Arco da Calheta";"Calheta";"Ilha da Madeira (Madeira)"
